delta_longi,sst,atms,u10,v10
-0.1,-83.048,-26.501,4.25,4
0,-132.849,-36.553,4.25,4
0,-120.675,-17.288,4.25,4
-0.1,-136.169,38.833,4.25,4
0.1,-125.102,29.62,4.25,4
-0.2,-93.008,-13.937,4.5,4.25
0.2,-85.382,-16.678,4.5,4.25
-0.3,-74.182,-49.152,4.5,4.25
0,-106.982,-93.804,4.75,4.5
0,-155.784,-89.068,4.75,4.5
0,-106.982,-21.414,4.75,4.5
0,-105.585,-38.097,4.75,4.5
-0.1,-128.897,-37.511,5,4.75
0.4,-121.833,-132.389,5,4.75
-0.3,-125.365,-116.576,5,4.75
0.3,-215.786,-110.133,5,4.75
0,-215.786,-26.969,5,4.75
0,-235.474,-18.732,5,4.75
-0.3,-240.956,-33.185,5,4.75
0,-255.344,-87.786,5,4.75
0,-264.251,-162.728,5,4.75
0,-288.232,-117.762,5,4.75
0,-325.916,-135.427,5.25,5
0,-235.474,-125.257,5.25,5
0,-307.038,-115.781,5.25,5
0.3,-272.957,-103.446,5.25,5
-0.3,-218.547,-114.606,5.25,5
0.3,-229.309,-83.474,5.25,5
-0.3,-223.928,-108.732,5.25,5
0,-239.474,-136.34,5.25,5
0,-244.855,-170.996,5.25,5
0,-258.607,-85.824,5.25,5
0,-221.224,-70.25,5.25,5
0,-210.216,-58.233,5.25,5
0,-239.938,-78.928,5.25,5
0,-200.309,-84.936,5.25,5
0,-230.03,-129.664,5.5,5.25
0,-300.48,-183.738,5.5,5.25
0,-348.915,-214.447,5.5,5.25
0,-198.107,-98.288,5.5,5.25
0.3,-221.621,-113.311,5.5,5.25
-0.4,-230.665,-181.581,5.5,5.25
0,-260.263,-99.799,5.5,5.25
0,-168.181,-40.774,5.5,5.25
0,-182.98,-55.708,5.5,5.25
0,-182.98,-55.708,5.5,5.25
0.4,-223.74,-52.174,5.5,5.25
-0.5,-262.909,-50.693,5.5,5.25
0,-158.757,-120.313,5.75,5.5
0,-210.851,-146.543,5.75,5.5
0,-233.265,-150.834,5.75,5.5
0,-236.066,-131.096,5.75,5.5
0,-217.388,-165.424,5.75,5.5
0,-213.652,-157.7,5.75,5.5
0,-185.634,-154.267,5.75,5.5
0,-130.532,-105.351,5.75,5.5
0.5,-172.559,-115.649,6,5.75
-0.4,-163.179,-130.319,6,5.75
0,-175.973,-121.885,6,5.75
0,-209.025,-138.151,6,5.75
0,-158.914,-71.281,6,5.75
0.1,-119.465,-67.666,6,5.75
0.3,-123.73,-42.966,6,5.75
-0.2,-57.625,-3.206,6,5.75
0,-69.947,-11.69,6,5.75
0.1,-86.329,-18.065,6,5.75
0,-128.575,-65.876,6,5.75
0,-191.514,-89.781,6,5.75
0,-132.024,-41.173,6,5.75
0,-101.148,-32.025,6,5.75
0.1,-150.179,-64.168,6,5.75
0,-164.39,-68.653,6,5.75
0,-80.541,-12.59,6,5.75
0,-90.489,-11.842,6,5.75
0,-61.355,12.078,6,5.75
0,-55.01,14.122,6,5.75
0,-81.688,-27.668,6,5.75
0,-91.569,-35,6.25,6
0,-94.533,-41.599,6.25,6
117,-105.401,-56.995,6.25,6
-116.9,-113.306,-40.865,6.25,6
0,-138.995,-68.726,6.25,6
0,-162.76,-63.665,6.25,6
0.1,-186.696,-71.03,6.25,6
0,-215.12,-56.969,6.25,6
0,-246.537,-67.012,6.25,6
0.1,-196.42,-76.386,6.25,6
0,-203.152,-108.525,6.25,6
0,-290.669,-141.333,6.25,6
0,-282.416,-131.975,6.25,6
0,-344.397,-151.785,6.25,6
0,-339.763,-180.652,6.25,6
0,-274.306,-105.372,6.25,6
0,-299.214,-142.729,6.25,6
0,-419.702,-150.653,6.25,6
